feature_source,method,k,k_effective,metric,val_mae,n_components_requested,n_components_used,l2_normalize,scaler_mean_shape,val_balanced_accuracy,bandwidth_scale,bandwidth,bw_method
raw_pca,age_knn,1.0,1.0,euclidean,15.00514726908779,50,50,False,[12288],,,,
raw_pca,age_knn,1.0,1.0,cosine,14.67343437231913,50,50,False,[12288],,,,
raw_pca,age_knn,3.0,3.0,euclidean,12.40477470550836,50,50,False,[12288],,,,
raw_pca,age_knn,3.0,3.0,cosine,12.129604645364243,50,50,False,[12288],,,,
raw_pca,age_knn,5.0,5.0,euclidean,12.105206977638666,50,50,False,[12288],,,,
raw_pca,age_knn,5.0,5.0,cosine,11.683701879907453,50,50,False,[12288],,,,
raw_pca,age_knn,10.0,10.0,euclidean,11.915730850763012,50,50,False,[12288],,,,
raw_pca,age_knn,10.0,10.0,cosine,11.285060755188146,50,50,False,[12288],,,,
raw_pca,age_knn,20.0,20.0,euclidean,11.988690476730659,50,50,False,[12288],,,,
raw_pca,age_knn,20.0,20.0,cosine,11.28117961478694,50,50,False,[12288],,,,
raw_pca,age_knn,50.0,50.0,euclidean,12.319403346896776,50,50,False,[12288],,,,
raw_pca,age_knn,50.0,50.0,cosine,11.488692897647425,50,50,False,[12288],,,,
raw_pca,age_knn,1.0,1.0,euclidean,14.67343437231913,50,50,True,[12288],,,,
raw_pca,age_knn,1.0,1.0,cosine,14.67343437231913,50,50,True,[12288],,,,
raw_pca,age_knn,3.0,3.0,euclidean,12.152924750506013,50,50,True,[12288],,,,
raw_pca,age_knn,3.0,3.0,cosine,12.129604619075765,50,50,True,[12288],,,,
raw_pca,age_knn,5.0,5.0,euclidean,11.749732118318033,50,50,True,[12288],,,,
raw_pca,age_knn,5.0,5.0,cosine,11.683701657867099,50,50,True,[12288],,,,
raw_pca,age_knn,10.0,10.0,euclidean,11.364700827632861,50,50,True,[12288],,,,
raw_pca,age_knn,10.0,10.0,cosine,11.28506049381978,50,50,True,[12288],,,,
raw_pca,age_knn,20.0,20.0,euclidean,11.411857851680052,50,50,True,[12288],,,,
raw_pca,age_knn,20.0,20.0,cosine,11.281179227988561,50,50,True,[12288],,,,
raw_pca,age_knn,50.0,50.0,euclidean,11.672026912225613,50,50,True,[12288],,,,
raw_pca,age_knn,50.0,50.0,cosine,11.48869183629373,50,50,True,[12288],,,,
raw_pca,age_knn,1.0,1.0,euclidean,14.974549613954819,100,100,False,[12288],,,,
raw_pca,age_knn,1.0,1.0,cosine,14.39662567915356,100,100,False,[12288],,,,
raw_pca,age_knn,3.0,3.0,euclidean,12.318691358168891,100,100,False,[12288],,,,
raw_pca,age_knn,3.0,3.0,cosine,12.008799714223729,100,100,False,[12288],,,,
raw_pca,age_knn,5.0,5.0,euclidean,11.871877559123712,100,100,False,[12288],,,,
raw_pca,age_knn,5.0,5.0,cosine,11.446477511920126,100,100,False,[12288],,,,
raw_pca,age_knn,10.0,10.0,euclidean,11.86230894180544,100,100,False,[12288],,,,
raw_pca,age_knn,10.0,10.0,cosine,11.160002065189493,100,100,False,[12288],,,,
raw_pca,age_knn,20.0,20.0,euclidean,11.936675366757038,100,100,False,[12288],,,,
raw_pca,age_knn,20.0,20.0,cosine,11.221269268796823,100,100,False,[12288],,,,
raw_pca,age_knn,50.0,50.0,euclidean,12.333339129453083,100,100,False,[12288],,,,
raw_pca,age_knn,50.0,50.0,cosine,11.44705736989437,100,100,False,[12288],,,,
raw_pca,age_knn,1.0,1.0,euclidean,14.39662567915356,100,100,True,[12288],,,,
raw_pca,age_knn,1.0,1.0,cosine,14.39662567915356,100,100,True,[12288],,,,
raw_pca,age_knn,3.0,3.0,euclidean,12.040387011577456,100,100,True,[12288],,,,
raw_pca,age_knn,3.0,3.0,cosine,12.008799623254049,100,100,True,[12288],,,,
raw_pca,age_knn,5.0,5.0,euclidean,11.502360435844622,100,100,True,[12288],,,,
raw_pca,age_knn,5.0,5.0,cosine,11.446477262610179,100,100,True,[12288],,,,
raw_pca,age_knn,10.0,10.0,euclidean,11.248562922044982,100,100,True,[12288],,,,
raw_pca,age_knn,10.0,10.0,cosine,11.160001655151829,100,100,True,[12288],,,,
raw_pca,age_knn,20.0,20.0,euclidean,11.35536660810781,100,100,True,[12288],,,,
raw_pca,age_knn,20.0,20.0,cosine,11.221268432177109,100,100,True,[12288],,,,
raw_pca,age_knn,50.0,50.0,euclidean,11.627172129007542,100,100,True,[12288],,,,
raw_pca,age_knn,50.0,50.0,cosine,11.447055522831786,100,100,True,[12288],,,,
raw_pca,age_knn,1.0,1.0,euclidean,14.774663997712326,200,200,False,[12288],,,,
raw_pca,age_knn,1.0,1.0,cosine,14.334858450100086,200,200,False,[12288],,,,
raw_pca,age_knn,3.0,3.0,euclidean,12.297824085201297,200,200,False,[12288],,,,
raw_pca,age_knn,3.0,3.0,cosine,11.99057077140985,200,200,False,[12288],,,,
raw_pca,age_knn,5.0,5.0,euclidean,11.950882988316494,200,200,False,[12288],,,,
raw_pca,age_knn,5.0,5.0,cosine,11.379897845511358,200,200,False,[12288],,,,
raw_pca,age_knn,10.0,10.0,euclidean,11.84218909682625,200,200,False,[12288],,,,
raw_pca,age_knn,10.0,10.0,cosine,11.197803396264256,200,200,False,[12288],,,,
raw_pca,age_knn,20.0,20.0,euclidean,11.949164144562456,200,200,False,[12288],,,,
raw_pca,age_knn,20.0,20.0,cosine,11.193563132832496,200,200,False,[12288],,,,
raw_pca,age_knn,50.0,50.0,euclidean,12.324426529992717,200,200,False,[12288],,,,
raw_pca,age_knn,50.0,50.0,cosine,11.44257165955391,200,200,False,[12288],,,,
raw_pca,age_knn,1.0,1.0,euclidean,14.334858450100086,200,200,True,[12288],,,,
raw_pca,age_knn,1.0,1.0,cosine,14.334858450100086,200,200,True,[12288],,,,
