corruption,severity,param,n_samples,age_mae,age_rmse,interval_coverage,mean_interval_width,interval_coverage_calibrated,mean_interval_width_calibrated,gender_accuracy,abstention_rate,mean_confidence
clean,0,,300,5.753019027709961,8.097393844316231,0.77,16.319618225097656,0.8833333333333333,23.325881958007812,0.9621212121212122,0.12,0.9409754276275635
gaussian_blur,1,0.8,300,5.834456057449182,8.162527316486802,0.7533333333333333,16.342355728149414,0.8866666666666667,23.348615646362305,0.9619771863117871,0.12333333333333334,0.9414046406745911
gaussian_blur,2,1.6,300,6.290961306293806,8.998761975245621,0.74,16.20816421508789,0.85,23.214427947998047,0.9471698113207547,0.11666666666666667,0.9421094655990601
gaussian_blur,3,2.6,300,7.454175110061963,10.968939784808592,0.6666666666666666,16.32496452331543,0.8133333333333334,23.331226348876953,0.9507575757575758,0.12,0.9410420656204224
gaussian_noise,1,0.03,300,7.7275536141792935,10.397207027925479,0.6433333333333333,19.43906593322754,0.85,26.445329666137695,0.9548872180451128,0.11333333333333333,0.9402136206626892
gaussian_noise,2,0.08,300,31.950894414583843,36.37607452010613,0.13333333333333333,29.102148056030273,0.20666666666666667,36.1084098815918,0.9147286821705426,0.14,0.9285644292831421
gaussian_noise,3,0.15,300,47.575662759145104,50.972856804724756,0.06,33.43562316894531,0.07666666666666666,40.4418830871582,0.9182692307692307,0.30666666666666664,0.8627479076385498
low_resolution,1,0.5,300,6.129414420028527,8.746009177261918,0.7466666666666667,15.958012580871582,0.8566666666666667,22.96427345275879,0.9547169811320755,0.11666666666666667,0.942348301410675
low_resolution,2,0.3,300,6.754053578476111,9.856365678545528,0.7,15.990094184875488,0.84,22.996355056762695,0.9511278195488722,0.11333333333333333,0.9427943825721741
low_resolution,3,0.15,300,8.632796438932418,12.853087476457286,0.6733333333333333,17.48859405517578,0.7766666666666666,24.494855880737305,0.9315589353612167,0.12333333333333334,0.930359423160553
jpeg_compression,1,40.0,300,5.782413387298584,8.0209802903965,0.7366666666666667,16.459266662597656,0.9,23.465530395507812,0.9621212121212122,0.12,0.9423313140869141
jpeg_compression,2,20.0,300,5.987886562446753,8.209788730481655,0.7366666666666667,17.34326934814453,0.9066666666666666,24.349531173706055,0.9657794676806084,0.12333333333333334,0.9408888816833496
jpeg_compression,3,10.0,300,7.716666026016076,10.309330071153834,0.6533333333333333,19.522043228149414,0.8366666666666667,26.528305053710938,0.9431818181818182,0.12,0.9396283030509949
low_brightness,1,0.7,300,6.000297211011251,8.31618492464423,0.7766666666666666,17.129560470581055,0.8866666666666667,24.135820388793945,0.9580152671755725,0.12666666666666668,0.9390349388122559
low_brightness,2,0.5,300,7.121171607176463,10.114373208014701,0.7566666666666667,18.85645294189453,0.88,25.862714767456055,0.9523809523809523,0.16,0.9163329005241394
low_brightness,3,0.3,300,9.339886306126912,13.251573206804856,0.68,21.048128128051758,0.8133333333333334,28.054393768310547,0.8959276018099548,0.2633333333333333,0.8720865845680237
high_brightness,1,1.3,300,6.050559540092945,8.888395269458181,0.76,16.933794021606445,0.8733333333333333,23.94005584716797,0.9325842696629213,0.11,0.9431616067886353
high_brightness,2,1.6,300,7.176367406646411,10.776798106070908,0.7333333333333333,18.667909622192383,0.86,25.674171447753906,0.926923076923077,0.13333333333333333,0.935259997844696
high_brightness,3,2.0,300,8.581205626924833,13.153641830248343,0.7133333333333334,21.0985107421875,0.8333333333333334,28.104772567749023,0.912,0.16666666666666666,0.9136124849319458
low_contrast,1,0.7,300,5.796178814172745,8.093449436783917,0.81,18.08988380432129,0.9166666666666666,25.096145629882812,0.9534883720930233,0.14,0.9310718774795532
